Team,Position,Time,Shots,Passes,Tackles,Saves,player_name
Greece,Goalkeeper,270,0,41,0,12,Tzorvas
Argentina,Forward,324,6,164,7,0,Tevez
Nigeria,Midfielder,196,6,73,2,0,Uche
England,Defender,180,1,93,4,0,Upson
France,Midfielder,21,1,11,1,0,Valbuena
Paraguay,Forward,337,8,57,9,0,Valdez
Chile,Forward,222,3,91,3,0,Valdivia
Australia,Midfielder,245,0,135,5,0,Valeri
Honduras,Goalkeeper,270,0,51,0,12,Valladares
Netherlands,Midfielder,257,8,122,4,0,Van der Vaart
Netherlands,Defender,360,0,189,2,0,Van der Wiel
Mexico,Forward,100,1,25,1,0,Vela
Portugal,Midfielder,26,1,30,1,0,Veloso
Paraguay,Midfielder,414,5,138,14,0,Vera
Argentina,Midfielder,185,3,235,10,0,VeronA
Paraguay,Defender,90,0,26,3,0,VeronP
New Zealand,Defender,249,1,88,4,0,Vicelich
Nigeria,Forward,72,3,25,4,0,Victor Obinna
Uruguay,Defender,435,0,141,7,0,Victorino
Chile,Defender,306,6,178,17,0,Vidal
Serbia,Defender,270,2,158,7,0,Vidic
Spain,Forward,529,22,169,2,0,Villa
Paraguay,Goalkeeper,480,0,99,0,10,Villar
Greece,Defender,270,0,89,4,0,Vintra
Slovakia,Forward,353,10,118,0,0,Vittek
Ghana,Defender,210,1,56,2,0,Vorsah
Honduras,Forward,125,0,43,1,0,Walter Martinez
Cameroon,Forward,168,4,39,3,0,Webo
Slovakia,Midfielder,269,2,84,2,0,Weiss
Honduras,Forward,87,2,16,0,0,Welcome
Australia,Midfielder,256,2,117,8,0,Wilkshire
Honduras,Midfielder,270,0,90,14,0,Wilson Palacios
New Zealand,Forward,66,1,16,0,0,Wood
England,Midfielder,89,2,29,2,0,Wright-Phillips
Spain,Midfielder,515,4,563,6,0,Xavi
Algeria,Defender,269,1,79,4,0,Yahia
Switzerland,Midfielder,56,3,26,0,0,Yakin
Nigeria,Forward,250,6,43,2,0,Yakubu
Japan,Forward,9,0,4,0,0,Yano
Ivory Coast,Midfielder,270,3,197,5,0,Yaya Toure
Algeria,Midfielder,269,8,138,10,0,Yebda
South Korea,Midfielder,249,2,80,6,0,Yeom Ki-Hun
Nigeria,Defender,225,0,52,2,0,Yobo
Slovakia,Defender,268,1,94,8,0,Zabavnik
Italy,Defender,270,2,128,6,0,Zambrotta
Algeria,Midfielder,240,5,93,6,0,Ziani
Switzerland,Defender,270,1,71,9,0,Ziegler
Serbia,Forward,227,5,65,2,0,Zigic
Ivory Coast,Midfielder,270,0,96,5,0,Zokora
Netherlands,Midfielder,448,1,250,15,0,de Jong
Netherlands,Midfielder,47,0,37,2,0,de Zeeuw
Netherlands,Midfielder,540,2,307,31,0,van Bommel
Netherlands,Defender,540,1,271,10,0,van Bronckhorst
Netherlands,Forward,479,14,108,1,0,van Persie
Switzerland,Defender,234,0,79,3,0,von Bergen
Uruguay,Midfielder,409,6,140,17,0,Alvaro Pereira
Germany,Midfielder,497,7,266,3,0,Ozil
